"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Monte Morris","DEN",5,156,314,70,14,25,0.56,11,26,0.4230769230769231,0.4230769230769231,9,10,18,30,3,0.35714285714285715,0.35714285714285715,0.9090909090909091,0.5098039215686274,0.4845754901960784,0.5980392156862745,0.6363636363636364,0,0,0,1,0.038461538461538464,17.5
"Jaylen Brown","BOS",4,155,302,90,32,54,0.5925925925925926,4,19,0.21052631578947367,0.21052631578947367,14,32,32,6,6,0.5,0.5,0.5,0.2602739726027397,0.5070369863013698,0.5205479452054794,0.5555555555555556,0,7,0.12962962962962962,0,0,26.07449856733524
"Kevin Huerter","ATL",5,154,289,46,8,16,0.5,9,31,0.2903225806451613,0.2903225806451613,3,10,6,15,12,0.625,0.625,0.5555555555555556,0.6595744680851063,0.5363489361702128,0.4574468085106383,0.46938775510204084,0,1,0.0625,1,0.03225806451612903,18.46153846153846
"Patrick Williams","CHI",5,153,318,59,15,26,0.5769230769230769,7,21,0.3333333333333333,0.3333333333333333,8,16,14,21,0,0.5333333333333333,0.6666666666666666,1,0.44680851063829785,0.5297755319148937,0.5425531914893617,0.5673076923076923,6,2,0.07692307692307693,0,0,17.201166180758015
"Zach LaVine","CHI",4,153,316,77,18,39,0.46153846153846156,9,24,0.375,0.375,14,16,20,27,0,0.4444444444444444,0.4444444444444444,1,0.38095238095238093,0.5301087301587302,0.5,0.5579710144927537,0,5,0.1282051282051282,0,0,23.546511627906977
"Stephen Curry","GSW",5,150,309,140,27,45,0.6,19,47,0.40425531914893614,0.40425531914893614,29,20,34,30,27,0.37037037037037035,0.37037037037037035,0.5263157894736842,0.5108695652173914,0.4780451086956522,0.6032608695652174,0.6428571428571429,0,2,0.044444444444444446,0,0,34.705882352941174
"Andrew Wiggins","GSW",5,150,303,70,20,38,0.5263157894736842,7,13,0.5384615384615384,0.5384615384615384,9,28,12,21,0,0.7,0.7368421052631579,1,0.2549019607843137,0.4860578431372549,0.5980392156862745,0.603448275862069,2,1,0.02631578947368421,0,0,19.21921921921922
"Jimmy Butler","MIA",4,149,287,122,37,65,0.5692307692307692,7,16,0.4375,0.4375,27,32,42,9,12,0.43243243243243246,0.4444444444444444,0.42857142857142855,0.19753086419753085,0.5401537037037037,0.5864197530864198,0.6630434782608695,2,1,0.015384615384615385,1,0.0625,29.393939393939394
"Jaren Jackson Jr.","MEM",6,147,305,71,14,33,0.42424242424242425,10,28,0.35714285714285715,0.35714285714285715,13,18,10,30,0,0.6428571428571429,0.75,1,0.45901639344262296,0.5406475409836066,0.47540983606557374,0.5144927536231884,4,6,0.18181818181818182,0,0,22.50712250712251
"Marcus Smart","BOS",4,147,294,66,14,25,0.56,10,32,0.3125,0.3225806451612903,8,6,22,30,0,0.21428571428571427,0.3,1,0.5614035087719298,0.5483910714285715,0.5087719298245614,0.532258064516129,8,4,0.16,0,0,20.699708454810494
