"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Dante Cunningham","BKN",73,1562,111,65,9,9,1,1,5,1,2,1,0,2,51
"Kristaps Porzingis","NYK",48,1553,141,68,16,15,14,9,12,6,0,4,0,5,285
"Jarrett Jack","NYK",62,1548,98,41,5,2,5,0,9,2,1,3,0,1,102
"Dewayne Dedmon","ATL",62,1542,162,84,14,10,17,2,6,4,5,1,0,7,97
"JaMychal Green","MEM",55,1542,153,73,11,9,4,5,1,4,2,0,0,0,93
"Dwyane Wade","MIA",67,1536,124,64,4,4,5,3,4,2,0,3,1,2,141
"Shabazz Napier","POR",74,1535,84,34,3,5,3,3,23,3,2,3,0,0,147
"Marquese Chriss","PHX",72,1527,205,95,12,19,21,7,2,2,10,7,2,3,131
"Kris Dunn","CHI",52,1525,174,76,2,4,7,10,4,2,4,5,0,0,111
"Jakob Poeltl","TOR",82,1524,212,112,12,13,23,11,5,6,3,5,0,2,114
"Fred VanVleet","TOR",76,1520,130,52,7,3,4,5,9,6,4,3,0,0,117
"Bryn Forbes","SAS",80,1517,108,48,7,1,7,0,11,0,1,0,0,0,64
"Zach Randolph","SAC",59,1508,119,47,12,18,7,5,3,1,0,0,0,1,137
"Justin Jackson","SAC",68,1506,81,45,4,1,1,0,7,2,0,2,0,1,49
"Bismack Biyombo","ORL",82,1495,158,88,7,28,20,6,4,3,0,0,1,2,155
"Nikola Mirotic","NOP",55,1494,108,53,1,13,5,0,2,4,2,1,1,0,135
"Pat Connaughton","POR",82,1488,120,67,0,0,1,5,3,2,6,1,0,0,43
"Wesley Johnson","LAC",74,1486,146,85,7,3,2,1,3,1,5,0,0,0,48
"Aron Baynes","BOS",81,1485,200,100,30,10,21,2,4,17,9,1,0,0,109
"OG Anunoby","TOR",74,1482,130,64,3,4,0,4,4,4,9,1,0,1,55
"Ed Davis","POR",78,1471,188,111,29,30,18,6,5,0,1,1,0,2,118
"Tyus Jones","MIN",82,1467,110,52,3,2,8,2,11,4,2,6,0,0,86
"Luke Kennard","DET",73,1463,86,51,2,0,1,2,0,0,3,0,0,0,67
"Josh Hart","LAL",63,1460,107,66,3,5,0,3,6,3,2,2,0,0,76
"Ian Clark","NOP",74,1454,120,57,3,3,1,1,8,1,1,2,0,0,55
"Marcus Morris","BOS",54,1442,100,54,7,4,7,4,3,2,1,3,0,0,126
"Jarrett Allen","BKN",72,1441,147,95,7,12,20,3,1,1,5,2,0,9,110
"Mason Plumlee","DEN",74,1440,184,81,17,24,5,5,3,7,17,2,0,3,159
"Malcolm Brogdon","MIL",48,1436,128,57,2,2,3,0,3,2,1,2,0,0,72
"Avery Bradley","LAC",46,1433,92,46,1,1,4,0,7,4,0,2,0,0,88
"Delon Wright","TOR",69,1433,81,34,1,2,2,7,7,8,6,6,0,0,126
"Mario Chalmers","MEM",66,1421,179,70,9,6,10,8,34,13,0,1,0,0,169
"Larry Nance Jr.","CLE",66,1421,172,71,23,22,18,1,6,3,6,2,0,1,140
"John Wall","WAS",41,1410,80,43,2,1,2,6,6,4,0,8,0,0,200
"Mike Scott","WAS",76,1406,148,78,6,4,14,3,4,1,2,1,0,2,76
"Alex Len","PHX",69,1395,158,76,25,18,24,2,2,0,2,2,0,4,189
"Nick Young","GSW",80,1393,100,41,6,2,3,2,8,4,6,2,0,0,70
"Kosta Koufos","SAC",71,1391,146,60,16,16,13,2,3,1,5,0,1,1,95
"Trey Lyles","DEN",73,1391,111,79,3,5,1,3,1,5,4,5,1,2,125
"Kyle O'Quinn","NYK",77,1387,192,93,26,20,26,3,2,1,0,0,0,9,112
"Nemanja Bjelica","MIN",67,1371,141,68,18,8,3,4,2,2,4,0,0,1,49
"Bam Adebayo","MIA",69,1368,138,67,8,16,12,6,11,3,6,1,0,1,169
"Shelvin Mack","ORL",69,1365,91,43,3,1,3,3,4,6,0,1,0,0,94
"Raymond Felton","OKC",82,1365,91,38,4,1,1,2,6,2,4,3,0,2,59
"Hassan Whiteside","MIA",54,1364,131,66,16,16,15,4,1,1,5,1,0,2,169
"Quincy Acy","BKN",70,1359,149,68,14,11,11,4,9,18,7,3,0,0,81
"Lance Thomas","NYK",73,1353,134,53,7,5,3,2,12,6,1,0,0,1,65
"Devin Harris","DEN",71,1340,158,55,6,1,6,2,16,11,9,16,0,1,173
"CJ Miles","TOR",70,1336,134,68,0,1,2,2,0,6,6,4,1,1,76
"Gorgui Dieng","MIN",79,1333,147,79,7,7,13,0,1,15,7,4,0,0,94
