Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
189,Domantas Sabonis\sabondo01,C,25,IND,26,25,886,178,311,.572,19,68,.279,159,243,.654,.603,89,117,.761,83,229,312,106,30,9,82,88,464
190,Kyle Anderson\anderky01,PF,28,MEM,21,2,455,66,154,.429,18,50,.360,48,104,.462,.487,15,19,.789,23,87,110,50,18,10,20,30,165
191,Dillon Brooks\brookdi01,SF,26,MEM,11,10,287,70,171,.409,18,55,.327,52,116,.448,.462,32,35,.914,8,28,36,31,15,2,26,38,190
192,Jevon Carter\carteje01,PG,26,BRK,24,1,299,21,74,.284,18,58,.310,3,16,.188,.405,3,4,.750,4,31,35,27,8,7,8,30,63
193,Josh Giddey\giddejo01,SG,19,OKC,21,21,617,91,226,.403,18,71,.254,73,155,.471,.442,19,28,.679,31,112,143,121,21,13,59,37,219
194,Gary Harris\harriga01,SG,27,ORL,19,9,481,57,139,.410,18,64,.281,39,75,.520,.475,11,15,.733,14,27,41,32,14,2,20,35,143
195,D.J. Augustin\augusdj01,PG,34,HOU,19,0,238,24,59,.407,17,42,.405,7,17,.412,.551,15,17,.882,2,16,18,40,4,0,21,12,80
196,Ayo Dosunmu\dosunay01,SG,22,CHI,24,1,413,59,119,.496,17,41,.415,42,78,.538,.567,10,17,.588,12,40,52,26,10,5,20,34,145
197,Josh Jackson\jacksjo02,SF,24,DET,20,3,376,53,128,.414,17,59,.288,36,69,.522,.480,23,33,.697,11,58,69,33,9,9,23,37,146
198,Zeke Nnaji\nnajize01,PF,21,DEN,11,0,157,29,56,.518,17,28,.607,12,28,.429,.670,10,16,.625,13,27,40,1,1,4,5,16,85
