"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Bobby Portis","MIL",7,173,355,90,30,54,0.5555555555555556,8,25,0.32,0.32,6,28,32,24,0,0.4666666666666667,0.7,1,0.31645569620253167,0.5333626582278481,0.5316455696202531,0.5487804878048781,20,5,0.09259259259259259,0,0,21.103117505995204
"Austin Reaves","LAL",7,172,377,51,8,12,0.6666666666666666,8,20,0.4,0.4,11,8,8,24,0,0.5,0.5,1,0.625,0.557121875,0.625,0.7083333333333334,0,0,0,0,0,9.95260663507109
"Chris Duarte","IND",8,172,355,80,15,32,0.46875,13,37,0.35135135135135137,0.3611111111111111,11,16,14,30,9,0.5333333333333333,0.5714285714285714,0.7692307692307693,0.5362318840579711,0.533515671641791,0.5,0.5333333333333333,2,4,0.125,1,0.02702702702702703,20.39312039312039
"Evan Fournier","NYK",7,171,352,74,10,24,0.4166666666666667,16,41,0.3902439024390244,0.3902439024390244,6,12,8,39,9,0.6,0.6666666666666666,0.8125,0.6307692307692307,0.5189061538461539,0.5230769230769231,0.5441176470588235,2,1,0.041666666666666664,0,0,18.29268292682927
"Doug McDermott","SAS",8,169,364,91,13,29,0.4482758620689655,20,46,0.43478260869565216,0.43478260869565216,5,18,8,57,3,0.6923076923076923,0.75,0.95,0.6133333333333333,0.5372640000000001,0.5733333333333334,0.5909090909090909,2,1,0.034482758620689655,1,0.021739130434782608,20.631067961165048
"Cedi Osman","CLE",7,167,337,69,13,25,0.52,11,33,0.3333333333333333,0.3333333333333333,10,24,2,30,3,0.9230769230769231,0.9230769230769231,0.9090909090909091,0.5689655172413793,0.5328379310344827,0.5086206896551724,0.5476190476190477,0,3,0.12,0,0,18.230563002680967
"Josh Richardson","SAS",7,166,366,80,11,22,0.5,16,37,0.43243243243243246,0.43243243243243246,10,14,8,45,3,0.6363636363636364,0.6363636363636364,0.9375,0.6271186440677966,0.5173322033898305,0.5932203389830508,0.625,0,1,0.045454545454545456,0,0,18.06930693069307
"Javonte Green","CHI",9,165,339,58,17,26,0.6538461538461539,5,13,0.38461538461538464,0.38461538461538464,9,14,20,15,0,0.4117647058823529,0.7,1,0.3333333333333333,0.6246692307692309,0.6282051282051282,0.6590909090909091,14,2,0.07692307692307693,0,0,12.78772378516624
"Jevon Carter","MIL",7,165,336,27,5,12,0.4166666666666667,5,23,0.21739130434782608,0.21739130434782608,2,4,6,15,0,0.4,0.4,1,0.6571428571428571,0.56323,0.35714285714285715,0.375,0,1,0.08333333333333333,0,0,11.168831168831169
"Immanuel Quickley","NYK",7,163,336,63,12,27,0.4444444444444444,9,29,0.3103448275862069,0.3103448275862069,12,10,14,18,9,0.4166666666666667,0.4166666666666667,0.6666666666666666,0.5178571428571429,0.5056718181818182,0.45535714285714285,0.5080645161290323,0,2,0.07407407407407407,1,0.034482758620689655,19.17098445595855
"Mitchell Robinson","NYK",7,162,341,52,23,33,0.696969696969697,0,0,0,0,6,28,18,0,0,0.6086956521739131,0.875,0,0,0.6655606060606061,0.696969696969697,0.6666666666666666,14,2,0.06060606060606061,0,0,11.16751269035533
"Jaylen Nowell","MIN",8,162,350,99,32,68,0.47058823529411764,9,35,0.2571428571428571,0.2647058823529412,8,32,32,21,6,0.5,0.5714285714285714,0.7777777777777778,0.33980582524271846,0.5293946078431372,0.441747572815534,0.4583333333333333,8,10,0.14705882352941177,0,0,27.806122448979593
